Index[#version],Pointer[#version|],Original,Translated
000,0x39c000,"<@CC,FF,FF>54いは ニゴウさんです<CD>メダリンクを しますか?<*04>",
001,0x39c002,"<@CC,FF,FF>...NOW LOADING...",
002,0x39c004,"<@CC,FF,FF>53いは たまをさんです<CD>メダリンクを しますか?<*04>",
003,0x39c006,"<@CC,FF,FF>...NOW LOADING...",
004,0x39c008,"<@CC,FF,FF>52いは クロウマさんです<CD>メダリンクを しますか?<*04>",
005,0x39c00a,"<@CC,FF,FF>...NOW LOADING...",
006,0x39c00c,"<@CC,FF,FF>51いは ホマレさんです<CD>メダリンクを しますか?<*04>",
007,0x39c00e,"<@CC,FF,FF>...NOW LOADING...",
008,0x39c010,"<@CC,FF,FF>またの ごリようを<CD>おまちしておリます",
009,0x39c012,"<@LL,00,03>まけちゃった...",
010,0x39c014,"<@CC,FF,FF>げんざい つうしん たいき中です",
011,0x39c016,"<@CC,FF,FF>この メダリンクでは<CD>50いから 46いまでの<CF><D1>ちょうせん者を うけつけておリます<CF><D1>50いは ヤマダさんです<CD>メダリンクを しますか?<*04>",
012,0x39c018,"<@CC,FF,FF>...NOW LOADING...",
013,0x39c01a,"<@CC,FF,FF>49いは ユキムラさんです<CD>メダリンクを しますか?<*04>",
014,0x39c01c,"<@CC,FF,FF>...NOW LOADING...",
015,0x39c01e,"<@CC,FF,FF>48いは バフサクさんです<CD>メダリンクを しますか?<*04>",
016,0x39c020,"<@CC,FF,FF>...NOW LOADING...",
017,0x39c022,"<@CC,FF,FF>47いは ムツキさんです<CD>メダリンクを しますか?<*04>",
018,0x39c024,"<@CC,FF,FF>...NOW LOADING...",
019,0x39c026,"<@CC,FF,FF>46いは サラ ミツオさんです<CD>メダリンクを しますか?<*04>",
020,0x39c028,"<@CC,FF,FF>...NOW LOADING...",
021,0x39c02a,"<@CC,FF,FF>またの ごリようを<CD>おまちしておリます",
022,0x39c02c,"<@LL,00,03>まけちゃった...",
023,0x39c02e,"<@CC,FF,FF>げんざい つうしん たいき中です",
024,0x39c030,"<@CC,FF,FF>この メダリンクでは<CD>45いから 41いまでの<CF><D1>ちょうせん者を うけつけておリます<CF><D1>45いは ブンロクさんです<CD>メダリンクを しますか?<*04>",
025,0x39c032,"<@CC,FF,FF>...NOW LOADING...",
026,0x39c034,"<@CC,FF,FF>44いは ヒカルさんです<CD>メダリンクを しますか?<*04>",
027,0x39c036,"<@CC,FF,FF>...NOW LOADING...",
028,0x39c038,"<@CC,FF,FF>43いは はにぃボ-イさんです<CD>メダリンクを しますか?<*04>",
029,0x39c03a,"<@CC,FF,FF>...NOW LOADING...",
030,0x39c03c,"<@CC,FF,FF>42いは カガミヤマさんです<CD>メダリンクを しますか?<*04>",
031,0x39c03e,"<@CC,FF,FF>...NOW LOADING...",
032,0x39c040,"<@CC,FF,FF>41いは ホケタ チイさんです<CD>メダリンクを しますか?<*04>",
033,0x39c042,"<@CC,FF,FF>...NOW LOADING...",
034,0x39c044,"<@CC,FF,FF>またの ごリようを<CD>おまちしておリます",
035,0x39c046,"<@LL,00,03>まけちゃった...",
036,0x39c048,"<@CC,FF,FF>げんざい つうしん たいき中です",
037,0x39c04a,"<@CC,FF,FF>この メダリンクでは<CD>40いから 36いまでの<CF><D1>ちょうせん者を うけつけておリます<CD>40いは ニシダさんです<CF><D1>メダリンクを しますか?<*04>",
038,0x39c04c,"<@CC,FF,FF>...NOW LOADING...",
039,0x39c04e,"<@CC,FF,FF>39いは ニシムラさんです<CD>メダリンクを しますか?<*04>",
040,0x39c050,"<@CC,FF,FF>...NOW LOADING...",
041,0x39c052,"<@CC,FF,FF>38いは シライシさんです<CD>メダリンクを しますか?<*04>",
042,0x39c054,"<@CC,FF,FF>...NOW LOADING...",
043,0x39c056,"<@CC,FF,FF>37いは ビャクヤさんです<CD>メダリンクを しますか?<*04>",
044,0x39c058,"<@CC,FF,FF>...NOW LOADING...",
045,0x39c05a,"<@CC,FF,FF>36いは シメタさんです<CD>メダリンクを しますか?<*04>",
046,0x39c05c,"<@CC,FF,FF>...NOW LOADING...",
047,0x39c05e,"<@CC,FF,FF>またの ごリようを<CD>おまちしておリます",
048,0x39c060,"<@LL,00,03>まけちゃった...",
049,0x39c062,"<@CC,FF,FF>げんざい つうしん たいき中です",
050,0x39c064,"<@CC,FF,FF>この メダリンクでは<CD>35いから 31いまでの<CF><D1>ちょうせん者を うけつけておリます<CD>35いは サマヨさんです<CF><D1>メダリンクを しますか?<*04>",
051,0x39c066,"<@CC,FF,FF>...NOW LOADING...",
052,0x39c068,"<@CC,FF,FF>34いは パトリシアさんです<CD>メダリンクを しますか?<*04>",
053,0x39c06a,"<@CC,FF,FF>...NOW LOADING...",
054,0x39c06c,"<@CC,FF,FF>33いは アカガネさんです<CD>メダリンクを しますか?<*04>",
055,0x39c06e,"<@CC,FF,FF>...NOW LOADING...",
056,0x39c070,"<@CC,FF,FF>32いは タマオさんです<CD>メダリンクを しますか?<*04>",
057,0x39c072,"<@CC,FF,FF>...NOW LOADING...",
058,0x39c074,"<@CC,FF,FF>31いは イワノイさんです<CD>メダリンクを しますか?<*04>",
059,0x39c076,"<@CC,FF,FF>...NOW LOADING...",
