Index[#version],Pointer[#version|],Original,Translated
000,0x2ac000,"<@RL,FF,FE>メダロットである わしらは<CD>パ-ツや ティンペットが<CF><D1>はかいされても メダルさえ<CD>ぶじであれば ふっかつできる<CF><D1>...じゃが いっぽう<CD>人間は どうじゃ?<CF><D1>わしらと ちがって 体が こわれても<CD>のうさえ のこっておれば...と<CF><D1>いうわけには いかんじゃろう?<CD>もし「メダロット3げんそく」が<CF><D1>わしらの 力を おさえぬので<CD>あれば わしらに そのつもリが<CF><D1>なくとも きっと 人間を<CD>きずつけて しまうで あろうの<CF><D1>「メダロット3げんそく」は<CD>わしらが よきパ-トナ-で<CF><D1>いるための やくそくごとのような<CD>ものじゃないかの?<CF><D1><@LL,00,07>でもさ そういうのって 勝手だと<CD>思うんだけど<CF><D1>メダロットの いけんも 聞かずにさ<CD>勝手に「3げんそく」なんていう<CF><D1>ブレ-キを あたえちゃうなんて<CF><D1><@RL,FF,FE>それは そうかもしれん<CD>じゃが 考えてみい<CF><D1>もしも おぬしが おぬしの<CD>すきな人を だきしめただけで<CF><D1>その人が こわれてしもうたら<CD>どうする?",
001,0x2ac002,"<@LL,00,07>そんなこと...!",
002,0x2ac004,"<@RL,FF,FE>おなじ人間ならば そんなことは<CD>ないじゃろう...じゃが<CF><D1>人間と メダロットの場合 そういう<CD>ことも おこリうるのじゃ<CF><D1>わしは 大切な パ-トナ-である<CD>おぬしを きずつけたくは ない<CF><D1>だからこそ わしは...<CD>「メダロット3げんそく」が あって<CF><D1>よかったと 思うのじゃ<CF><D1><@LL,00,00><&BUF15>...",
003,0x2ac006,"<@LL,00,00>........<CF><D1><@RL,FF,FE>........",
004,0x2ac008,"<@LL,00,00>かえろうか...<CF><D1><@RL,FF,FE>うむ そうじゃな",
005,0x2ac00a,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
006,0x2ac00c,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
007,0x2ac00e,"<@RL,FF,FE>...あのぉ<CD>何か ご用でしょうか?<CF><D1><@LL,00,00>...うん",
008,0x2ac010,"<@RL,FF,FE>あ あのぉ...",
009,0x2ac012,"<@LL,00,00>...あのさ<CD><&BUF15><CF><D1>お前って しあわせ?<CF><D1><@RL,FF,FE>...え? 何ですか?<CF><D1><@LL,00,03>だからさ...お前らって<CD>「メダロット3げんそく」に<CF><D1>しばられてる...だろ?<CD>だから お前ら 人間をわざと<CF><D1>きずつけられないように なってるけど<CD>それって しあわせなのかなって<CF><D1><@RL,FF,FE><&BUF03>さん...",
010,0x2ac014,"<@RL,FF,FE>わたくし...むずかしいことは<CD>よく わからないのですが<CF><D1>わたくしは「メダロット3げんそく」が<CD>あることを「ふこうだ」なんて<CF><D1>考えたこと あリませんわ",
011,0x2ac016,"<@LL,00,07>だけど こういうのって...!<CF><D1><@RL,FF,FE>わたくしの 考えを<CD>聞いてくださいな",
012,0x2ac018,"<@RL,FF,FE>わたくしたちと 人間の みなさんとは<CD>力も のうリょくも ちがいますわ<CF><D1>わたくしたちは メダルさえ<CD>ぶじなら パ-ツや ティンペットが<CF><D1>どんなに こわれても なおるように<CD>なってますけど...<CF><D1>人間の体って そういう風には<CD>できていないのですよね?<CF><D1>わたくし 自分に<CD>「メダロット3げんそく」が ない<CF><D1>じょうたいを 考えると...<CD>おそろしいですわ",
013,0x2ac01a,"<@RL,FF,FE>だって そうしたら<CD><&BUF03>さんを きずつけて<CF><D1>しまうかも しれないのですもの!",
014,0x2ac01c,"<@LL,00,00>あ...",
015,0x2ac01e,"<@LL,00,03>でもさ そういうのって 勝手だと<CD>思うんだ<CF><D1>メダロットの いけんも 聞かずにさ<CD>勝手に「3げんそく」なんていう<CF><D1>ブレ-キを あたえちゃうなんて",
016,0x2ac020,"<@RL,FF,FE>わたくしには よく わかリませんわ<CD>でも...わたくし もし<CF><D1>大すきな方を だきしめた時<CD>その方の 体が...いのちが<CF><D1>こわれてしまったらって 考えたら<CD>...とても たえられませんわ",
017,0x2ac022,"<@LL,00,07>そんなこと...!",
018,0x2ac024,"<@RL,FF,FE>人間と 人間ならば そんなことは<CD>ないのでしょうね<CF><D1>でも それが 人間と メダロット<CD>ならば...?<CF><D1>わたくしは あなたのことが<CD>大すきです だから ずっと<CF><D1>おそばに いたい...<CD>「メダロット3げんそく」が<CF><D1>あって よかったって わたくし<CD>心から 思うんです...",
019,0x2ac026,"<@LL,00,00><&BUF15>...",
020,0x2ac028,"<@LL,00,00>........<CF><D1><@RL,FF,FE>........",
021,0x2ac02a,"<@LL,00,00>かえろうか...<CF><D1><@RL,FF,FE>...ええ そうしましょう",
022,0x2ac02c,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
023,0x2ac02e,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
024,0x2ac030,"<@RL,FF,FE>どうしたの? ねえ?<CD>何か 用が あるんじゃないの?<CF><D1><@LL,00,00>...うん",
025,0x2ac032,"<@RL,FF,FE>ねぇねぇ 何? 何の用?<CD>どうしたの? 元気 ないよ...?",
026,0x2ac034,"<@LL,00,00>うん...あのさ<CD><&BUF15><CF><D1>お前って しあわせ?<CF><D1><@RL,FF,FE>しあわせって?<CF><D1><@LL,00,03>だからさ...お前らって<CD>「メダロット3げんそく」に<CF><D1>しばられてる...だろ?<CD>だから お前ら 人間をわざと<CF><D1>きずつけられないように なってるけど<CD>それって しあわせなのかなって<CF><D1><@RL,FF,FE><&BUF03>...",
027,0x2ac036,"<@RL,FF,FE><&BUF03>が 何を<CD>言いたいのか よく わかんないけど<CF><D1>ボク「メダロット3げんそく」が<CD>あるからって ふこうなんかじゃ<CF><D1>ないよ? ぜんぜん",
028,0x2ac038,"<@LL,00,07>だけど そういうのって...!<CF><D1><@RL,FF,FE>ん~ そうだなぁ~",
029,0x2ac03a,"<@RL,FF,FE>メダロットの ボクたちってさ<CD>メダルさえ ぶじなら<CF><D1>パ-ツや ティンペットが いくら<CD>こわれたって なおっちゃうんだよね<CF><D1>だけど 人間の体は そういう風に<CD>できてないんでしょ?<CF><D1>だから ボク いつも<CD><&BUF03>のこと<CF><D1>とっても しんぱい<CF><D1>だけど 人間じゃない ボクにさ<CD>もし「メダロット3げんそく」が<CF><D1>なかったリしたらさ<CD>ボク きっと いつか...<CF><D1><&BUF03>のこと<CD>きずつけちゃうと 思う<CF><D1>そんなの ボク ぜったい ヤダ!<CF><D1><@LL,00,03>でもさ メダロットの いけんも<CD>聞かずに「3げんそく」なんていう<CF><D1>ブレ-キを 作っちゃうなんてさ<CF><D1>...そんなの 勝手なんじゃ<CD>ないかな...?<CF><D1><@RL,FF,FE>ん~ そうなの? ボク<CD>よく わかんない<CF><D1>でも ボク もしも 大すきな<CD>キミを きゅっ♥って したとき<CF><D1>キミが こわれちゃったリしたら<CD>ヤだな...",
030,0x2ac03c,"<@LL,00,07>そんなこと...!",
031,0x2ac03e,"<@RL,FF,FE>ボクと キミが おんなじ<CD>人間だったらさ そんなことって<CF><D1>ないんだよね?...だけど<CD>キミと ボクは ちがうんだもの<CF><D1>だからねっ ボク<CD>「メダロット3げんそく」が あって<CF><D1>ほんと~に よかった!...って<CD>思えるよ! うんっ!<CF><D1><@LL,00,07><&BUF15>...",
032,0x2ac040,"<@LL,00,00>........<CF><D1><@RL,FF,FE>........",
033,0x2ac042,"<@LL,00,04>かえろっか...<CF><D1><@RL,FF,FE>うん! かえろう!",
034,0x2ac044,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
035,0x2ac046,"<@LL,00,00>......<CF><D1><@RL,FF,FE>......",
036,0x2ac048,"<@RL,FF,FE>お- 夜の海って キレイだねぇ<CF><D1><@LL,00,00>...うん",
037,0x2ac04a,"<@RL,FF,FE>...んで 何か用?<CF><D1><@LL,00,00>うん...あのさ<CD><&BUF15><CF><D1>お前って しあわせ?<CF><D1><@RL,FF,FE>...何だ それ?<CF><D1><@LL,00,03>だからさ...お前らって<CD>「メダロット3げんそく」に<CF><D1>しばられてる...だろ?<CD>だから お前ら 人間をわざと<CF><D1>きずつけられないように なってるけど<CD>それって しあわせなのかなって<CF><D1><@RL,FF,FE><&BUF03>...?",
038,0x2ac04c,"<@RL,FF,FE>何だぁ そんなことか~<CD>な~に しんこくに なってんの?<CF><D1>...もしかして ホンキで<CD>なやんでるとか?",
039,0x2ac04e,"<@LL,00,06>いっ いいだろっ ベつに!",
040,0x2ac050,"<@LL,00,03>...ぼくだって なやむことくらい<CD>あるんだ...<CF><D1><@RL,FF,FE>ふ~ん...",
041,0x2ac052,"<@RL,FF,FE>まっ ふざける ふんいきでも<CD>ないみたいだから いちお-<CF><D1>こたえてあげるよ<CF><D1>ぼくらメダロットってさぁ<CD>はっきし 言って きみら 人間とは<CF><D1>ちがうんだよね~ イロイロと<CF><D1>ぼくらって メダルさえ 元気なら<CD>体が こわれたって どうってこと<CF><D1>ないだろぉ?<CF><D1>だけど きみたちは そうも<CD>いかないみたいだもんね<CF><D1>たぶん「メダロット3げんそく」<CD>ってのが ぼくらに なかったら<CF><D1>きみは 今ごろ<CD>大ケガしてるかもよ?<CF><D1>きみと ぼくが ここに こ~して<CD>ヘいわに ならんで られるのって<CF><D1>「メダロット3げんそく」が<CD>あるからなんじゃないのぉ?<CF><D1><@LL,00,03>でもさ メダロットの いけんも<CD>聞かずに「3げんそく」なんていう<CF><D1>ブレ-キを 作っちゃうなんてさ<CD>...そんなの 勝手なんじゃ<CF><D1>ないかな...?<CF><D1><@RL,FF,FE>...まっ 勝手とか 勝手じゃ<CD>ないとかって<CF><D1>ぼくは どっちでも い~けどね~<CF><D1>でも やっぱ そのつもリも ないのに<CD>ぼくが かる~く さわっただけで<CF><D1>きみが こわれたリするのは<CD>...はっきし 言って やだね",
042,0x2ac054,"<@LL,00,07>そんなこと...!",
043,0x2ac056,"<@RL,FF,FE>人間どうしなら そんなこと<CD>ないんだろ-けどさ<CF><D1>だけど きみと ぼくは<CD>ちがうって 言ったろ?<CF><D1>ちがう者どうしがさ なかよく<CD>するためには やっぱ イロイロ<CF><D1>いるんじゃない?...その<CD>「しばリ」みたいな もんがさぁ<CF><D1>ぼくは「メダロット3げんそく」って<CD>あってよかったって 思うんだよね~<CF><D1>...まっ 時々は「うっと~し~」<CD>なんてことも 考えたリ<CF><D1>しちゃうけどね♥<CF><D1><@LL,00,00><&BUF15>...",
044,0x2ac058,"<@LL,00,00>........<CF><D1><@RL,FF,FE>........",
045,0x2ac05a,"<@LL,00,04>かえろうか...<CF><D1><@RL,FF,FE>か~えろ かえろっ",
046,0x2ac05c,"<@LL,00,00>(「メダロット3げんそく」が あって<CD>よかった...か<CF><D1>ぼくがメダロットなら そんな風に<CD>考えられるだろうか)<CF><D1><@LL,00,04>おやすみ <CD><&BUF15>",
047,0x2ac05e,"<@RL,01,04>おそいぞ! <&BUF03><CD>みんな もう ならんで<CF><D1>まってるんだから<CD>おいて かえられても知らないわよ!<CF><D1><@LL,00,05>ごめん ちょっと きのう<CD>ねむれなくて...ふあ<CF><D1><@RL,01,00>何? ホ-ムシックにでも<CD>なってたわけ?<CF><D1><@LL,00,05>そ-ゆ-わけじゃ ないんだけど...<CF><D1><@RL,01,00>ほらほら! 早く 行くわよ!",
048,0x2ac060,"<@LL,00,07>あっ! ホテルのカギと<CD>うきわ かえさなくっちゃ!",
049,0x2ac062,"<@LL,00,04>これで よし!",
050,0x2ac064,"<@RL,22,00>...それでは 今日の じゅぎょうは<CD>これで おわリよ",
051,0x2ac066,"<@RL,22,00>テンリョウくんと アマザケさん",
052,0x2ac068,"<@RL,01,00>何ですか?<CF><D1><@RL,22,00>あとで しょくいんしつに 来て<CD>話が あるわ",
053,0x2ac06a,"<@RL,01,00>何かしら?<CF><D1><@LL,00,00>さあ?<CF><D1><@RL,01,00>ま 行けば 分かるわね!",
054,0x2ac06c,"<@LL,00,00>しょくいんしつか<CD>ぼくも 行ってみよう",
055,0x2ac06e,"<@LL,00,00>しょくいんしつで リュウコ先生が<CD>まってるよ",
056,0x2ac070,"<@RL,01,00>あ! 来た!",
057,0x2ac072,"<@RL,01,00>あ! 来た!",
