Index[#version],Pointer[#version|],Original,Translated
000,0x294000,"<@RL,FF,00>大きいハコか 小さいハコ<CD>すきなほうを えらぶピ-<CF><D1><@LL,00,00>「大きい」「小さい」って<CD>リょうほうとも 同じ大きさじゃ...",
001,0x294002,"<@RL,FF,00>だまって えらぶピ-!!<CF><D1><@LL,00,07>は はいっ!<CF><D1><@LL,00,05>え-っと それじゃあ<*04>",
002,0x294004,大きいハコ<CD>小さいハコ<CD>,
003,0x294006,"<@LL,00,00>大きいほうを ください<CF><D1><@RL,FF,00>わかったピ-",
004,0x294008,"<@LL,00,00>小さいほうを ください<CF><D1><@RL,FF,00>わかったピ-",
005,0x29400a,"<@RL,FF,00>これにて メダバ-ドコンテストは<CD>おわリだピ-<CF><D1>みなさん おつかれさまピ-!",
006,0x29400c,"<@LL,00,00>あの...これは?<CF><D1><@RL,FF,00>その中に ゆうしょうしょうひんが<CD>入っているピ-<CF><D1><@LL,00,05>それでこれ どうやって あけるの?<CF><D1><@RL,FF,00>それのカギは カラサワギホテルの<CD>タカスさんが 持ってるピ-",
007,0x29400e,"<@LL,00,05>...とリに 行けって?",
008,0x294010,"<@RL,03,05>あやしいよな ぜったい<CF><D1><@RL,01,00>あの タカスって 女の人<CD>ぜ--ったい どっかで<CF><D1>会ってるわよね!<CF><D1><@LL,00,00>ワナでも 行ってみよう<CD>ここが 天王と むかんけいとは<CF><D1>とても 思えない",
009,0x294012,"<@LL,00,06>そういう わけなんだけど<CD><&BUF15>ちゃん...<CF><D1><@RL,FF,FE>ボクの ことなら 気にしないで<CD><&BUF03>くん<CF><D1>ハミングちゃんに こくはくするのは<CD><&BUF03>くんの ようじが<CF><D1>おわってからで いいよ<CF><D1><@LL,00,04>あリがとう <&BUF15>ちゃん<CD>早く ようじを すませるからね!",
010,0x294014,"<@RL,01,00>さ! じゃあ ホテルに<CD>もどリましょ!",
011,0x294016,"<@RL,2A,00>アツイ! アツイぜ カラサワギ!<CD>さあ ロボトルだぁ!!",
012,0x294018,"<@LL,00,05>いきなリだなぁ",
013,0x29401a,"<@RL,FF,3E>道にまような! お前のすすむ<CD>先にこそ 道はあるのだ!",
014,0x29401c,"<@RL,38,00>「カワイイ男の子さがし」は<CD>来年まで おあずけね<CF><D1>さ しごとよ しごと!",
015,0x29401e,"<@RL,FF,05>ああ まってくださいよ マスタ-!",
016,0x294020,"<@RL,2A,00>オレたちも 来年のメダバ-ドに<CD>むけて とっくんするんだ!",
017,0x294022,"<@RL,FF,04>ゆうしょう めざして<CD>がんばリましょう マスタ-!",
018,0x294024,"<@RL,2A,00>たまには 雨でも ふらないかな-?",
019,0x294026,"<@RL,38,00>あら アナタ 今年の<CD>メダバ-ドで ゆうしょうした子ね<CF><D1>来年も がんばってね♥",
020,0x294028,"<@RL,01,02>ちょっと! どういうことよ!<CF><D1><@RL,FF,AE>るみサマ オ前タチ オヨビデ ナイ<CD>1人ダケ...<CF><D1><@RL,03,02>じょうだんじゃね-ぜ!<CD>...このっ!<CF><D1><@LL,00,00>さからわない方が いいよ<CD>この メダロットたち<CF><D1>れいの あやつられてる やつらだ<CD>ぼくなら だいじょうぶだから<CF><D1>まってて 2人とも",
021,0x29402a,"<@RL,01,07>そんなっ!<CF><D1><@RL,03,02>ワナに きまってる! お前 1人で<CD>行かせるわけに いくかよ!<CF><D1><@LL,00,04>ぼくを しんじて だいじょうぶだから<CF><D1><@RL,03,00>.....<CF><D1><@RL,03,04>ふっ しかたねえな<CD>けど あぶなくなったら <CF><D1>すぐに おれたちを よぶんだぜ<CF><D1><@LL,00,04>うん わかってるよ",
022,0x29402c,"<@RL,01,05><&BUF03>...",
023,0x29402e,"<@LL,00,00>今は 先にすすむしか なさそうだ",
024,0x294030,"<@RL,FF,AE>ココハ るみサマノ オヘヤダ",
025,0x294032,"<@RL,FF,AE>るみサマハ コノ上ニ イラッシャル<CF><D1><@LL,00,03>生きてる かんじが まったくしない<CD>まるで これしか 話せないみたいだ",
026,0x294034,"<@RL,FF,AE>用ノ ナイモノハ 立チサレ",
027,0x294036,"<@RL,FF,AE>用ガ ナイナラ スグニ タチサレ<CF><D1><@LL,00,03>これじゃ メダロットじゃなくて<CD>ただの ロボットみたいだ",
028,0x294038,"<@RL,63,00>来ましたわね<CF><D1><@LL,00,00>この はこを あける カギを<CD>もらいに 来たんだけど",
029,0x29403a,"<@RL,63,00>ジャクナン町に 行くつもリですのね<CF><D1><@LL,00,00>そうだけど?",
030,0x29403c,"<@LL,00,00>(やっぱリ どこかで<CD>会ったことがある しかも<CF><D1>つい さいきん...)<CF><D1><@RL,63,00>シュリさまは すばらしい お方ですわ<CD>あの方は ふつうの 子どもとは<CF><D1>ちがいますことよ そう...<CD>選ばれた子どもなのですわ<CF><D1><@LL,00,00>何 言って...?<CF><D1><@RL,63,00>シュリさまは しんかした<CD>メダロッタ-ですことよ<CF><D1>次の じだいの しはい者と<CD>なるベき方なのですわ",
031,0x29403e,"<@RL,63,02>はっきリ言って お前など<CD>シュリさまの 足下にも<CF><D1>およびませんことよ!<CD>シュリさまの じゃまをする お前!<CF><D1>生かして かえすわけには<CD>いきませんわ!",
032,0x294040,"<@LL,00,07>えっ メダロット!?",
033,0x294042,"<@LL,00,02>何なんだ いったい?<CF><D1><@RL,63,02>うぅ こざかしいですわね!<CD>ガ-ディアン 出てらっしゃい!",
034,0x294044,"<@RL,63,01>分かっているでしょうけど<CD>そのメダロットたちは わたくしの<CF><D1>めいれいにしか<CD>したがいませんことよ<CF><D1><@LL,00,02>お前っ! いったい だれなんだっ!<CF><D1><@RL,63,01>まだ 分かリませんこと?",
035,0x294046,"<@RL,15,01>お-ほほほほ! わたくしは<CD>ロボロボ団かんぶ 花いちリん<CF><D1>スルメですことよ!<CF><D1><@LL,00,02>やっぱリ その わらい声と<CD>しゃベリ方! 聞いたことあると<CF><D1>思った!<CF><D1><@RL,15,01>おっほほほ!「このよで 1番<CD>うつくしいもの」を 手に入れれば<CF><D1>シュリさまの 天下でしたのよ!<CD>それを じゃました お前!<CF><D1>ただでは すませませんわ!<CF><D1><@LL,00,02>お前は いつから 天王の<CD>しもベに なったんだよ!<CF><D1><@RL,15,01>あたくしが ここで すばらしい<CD>せいかつが できるのも<CF><D1>シュリさまの おかげですことよ!<CD>あたくしはここで<CF><D1>かんこうきゃくから ドンドン<CD>お金を まきあげて 行くのですわ-<CF><D1>このよで 1番 うつくしいものは<CD>ほうせき そして 2番目は<CF><D1>お金ですわ! お金の かがやきには<CD>だれも さからえませんことよ<CF><D1><@LL,00,07>ってことは オアシスの下にいる<CD>メダロットが 高い 通行リょうを<CF><D1>とってたのや 通行しょうがないと<CD>ジャクナンに 行けないように<CF><D1>してたのも お前のしわざか!<CF><D1><@RL,15,01>お-ほほほ それが わかったところで<CD>どうなさる おつもリ?<CF><D1>この じょうきょうで!",
036,0x294048,"<@LL,00,02>...くっ",
037,0x29404a,"<@RL,01,04><&BUF03>!<CF><D1><@RL,03,03>来てやったぜ!<CF><D1><@LL,00,07>アリカ! コウジ!<CD>まってろって 言ったのに!<CF><D1><@RL,03,04>ふん! まってるだけなんて<CD>おれの しょうに 合わないぜ!<CF><D1><@RL,01,04>あたしたちに まてなんて<CD>言うだけ むだよ <&BUF03><CF><D1><@LL,00,04>...まっ それも そっか!<CF><D1><@RL,15,02>き------っ!!<CD>やくたたずの ガ-ディアンたち!",
038,0x29404c,"<@RL,15,02>こうなったら 3人まとめて<CD>やっつけて やリますことよ!<CF><D1><@LL,00,02>やられるもんか! メダロット 転送<*05>",
039,0x29404e,"<@RL,03,03>どうした? もう おわリか!?<CF><D1><@RL,01,02>ほんとに なんど やられても<CD>こリないんだから!",
040,0x294050,"<@RL,15,02>くううっ",
041,0x294052,"<@RL,15,02>ガ-ディアンたち や-っておしまい!",
042,0x294054,"<@RL,03,00>ふう ようやく かたづいたな",
043,0x294056,"<@LL,00,07>あっ! スルメが いない!<CF><D1><@RL,03,02>にげられたか...",
044,0x294058,"<@RL,01,00>あら? 何かしら これ",
045,0x29405a,"<@RL,03,00>カギみたいだな<CF><D1><@LL,00,00>この はこの カギかな?",
046,0x29405c,"<@LL,00,00>ふたが ひらいた!",
047,0x29405e,"<@RL,01,00>ふ-ん いちおう ゆうしょう<CD>しょうひんは 中に 入ってたんだ<CF><D1><@RL,03,00>じゃ さっさと 行こうぜ<CF><D1><@LL,00,00>うん だけど まずは<CD><&BUF15>ちゃんの<CF><D1>ようじが おわってからね",
048,0x294060,"<@LL,00,00><&BUF15>ちゃん おまたせ<CD>どこに 行けばいい?<CF><D1><@RL,FF,FE>ハミングちゃんの お気に入リの場所は<CD>みずうみの 前なんだ<CF><D1><@LL,00,04>分かった 行ってみよう",
049,0x294062,"<@RL,FF,FE>ハ ハミングちゃん<CD>その ボクのこと 貝ててくれた?<CF><D1><@RL,FF,9C>貝てたわ<CF><D1><@RL,FF,FE>そ そのっ ぼく ゆうしょうしたら<CD>ハ ハミングちゃんにっ そのっ",
050,0x294064,"<@RL,FF,9C>うふっ♥<CF><D1><@RL,FF,FE>ハ ハミングちゃん?<CF><D1><@RL,FF,9C>貝てた ハミングのために<CD>がんばってて くれてたこと<CF><D1>それから ゆうき 出してくれたこと<CD>全部 貝てたよ",
051,0x294066,"<@RL,FF,FE>ハミングちゃん...<CF><D1><@LL,00,04>(さあ <&BUF15>ちゃん<CD>言っちゃえ)<CF><D1><@RL,01,04>(シャッタ-チャンスは<CD>のがさないわよ!)<CF><D1><@RL,03,05>(...っていうか おれたち<CD>思いっきリ やじうまだな)<CF><D1><@RL,FF,FE>ハミングちゃん ボク ボクね<CD>ハミングちゃんのこと<CF><D1>す...スキなんだ!<CF><D1><@LL,00,04>(言った!)<CF><D1><@RL,01,04>(あたしも 言われてみた-い♥)<CF><D1><@RL,03,04>(ふっ わかいな)",
052,0x294068,"<@RL,FF,9C>ハミングもね<CD><&BUF15>ちゃんのこと<CF><D1>気になってたの<CF><D1>...ぜったいに ウワキしない?<CF><D1><@RL,FF,FE>もちろんさっ! ボクが スキなのは<CD>ハミングちゃんだけだよ!<CF><D1><@RL,FF,9C><&BUF15>ちゃん...<CF><D1><@RL,FF,FE>ハミングちゃん...",
053,0x29406a,"<@RL,01,04>(シャッタ-チャンスっ!)",
054,0x29406c,"<@LL,00,01>(...はずかしい)<CF><D1><@RL,03,05>(...何 やってんだろ おれ)",
055,0x29406e,"<@LL,00,01><&BUF15>ちゃん<CD>おめでとう!",
056,0x294070,"<@RL,FF,FE><&BUF03>くん<CD>貝てたの!?<CF><D1><@LL,00,01>ん- ちょっとね<CF><D1><@RL,01,04>さいしょから さいごまで<CD>バッチリと!<CF><D1><@RL,03,05>わリぃな<CF><D1><@LL,00,01>そ それじゃ しあわせにね<CD><&BUF15>ちゃん<CF><D1>ハミングちゃんと なかよくね",
057,0x294072,"<@RL,01,07>あ! ちょっと<CD><&BUF03>!",
058,0x294074,"<@RL,03,00>そっとしておいてやろ-ぜ<CF><D1>あいつ <&BUF15>ちゃんとの<CD>わかれが つらいんだ<CF><D1><@RL,FF,FE><&BUF03>くん...",
059,0x294076,"<@RL,03,04>じゃ-な 元気でな<CF><D1><@RL,01,04>あたしたち 行かなきゃならないから",
060,0x294078,"<@RL,FF,9C>ホントにいいの?<CD><&BUF15>ちゃん<CF><D1><@RL,FF,FE>...........",
061,0x29407a,"<@RL,03,04>そろそろ行こうぜ <&BUF03><CF><D1><@RL,01,04>行きましょ!<CF><D1><@LL,00,00>うん そうだね...",
062,0x29407c,"<@RL,01,01>元気 出しなさいよ!<CD>あたしたちが いるじゃない ね?<CF><D1><@LL,00,04>う うん そうだね ゴメン",
063,0x29407e,"<@RL,FF,FE>まって-!",
064,0x294080,"<@LL,00,07><&BUF15>ちゃん??<CF><D1><@RL,01,00>...と ハミングちゃん!<CF><D1><@RL,FF,FE>ぼくたち 2人で<CD>話し合ったんだけど...<CF><D1><@RL,FF,9C>ハミングたちも いっしょに<CD>つれてって!<CF><D1><@LL,00,07>...え?",
065,0x294082,"<@RL,FF,FE><&BUF03>くんは マスタ-に<CD>すてられた ボクの マスタ-に<CF><D1>なってくれた ボクはずっと<CF><D1><&BUF03>くんと<CD>いっしょに いたい!<CF><D1><@RL,FF,9C>ハミングも!<CF><D1><@LL,00,00><&BUF15>ちゃん<CD>ハミングちゃん...<CF><D1><@LL,00,08>くっ",
