Index[#version],Pointer[#version|],Original,Translated
000,0x2b8000,"<@RL,33,00>ル-ルは カンタン<CD>これから この4人の ニンジャが<CF><D1>赤 青 黄 黒の まきものを<CD>持って 「シノビックパ-ク」の<CF><D1>どこかに かくれる<CF><D1>おぬしらは このニンジャどもから<CD>まきものを うばいとリ<CF><D1>われの もとに 持ってくればよい<CF><D1>ほかの さんかしゃに 先に<CD>とられていても ロボトルで勝てば<CF><D1>まきものを うばえることとする<CF><D1>そして! 4本すベての<CD>まきものを 持ってきた者には<CF><D1>ごうかな プレゼントを やろう!!",
001,0x2b8002,"<@RL,33,00>ハンゾウ! コジロウ!",
002,0x2b8004,"<@RL,33,00>ハヤブサ! サスケ!",
003,0x2b8006,"<@RL,33,00>行けっ!!",
004,0x2b8008,"<@RL,33,00>また つまらぬ<CD>せつめいを してしまった...",
005,0x2b800a,"<@LL,00,04>ごうかなプレゼントか𝅅...<CF><D1><@LL,00,01>どんなものだろう きょうみある-!<*05>",
006,UNUSED00,"オ<@LL,00,01>よ𝅅し がんばって さがすぞ!",
007,0x2b800e,"<@RL,22,04>ミズチ!?",
008,0x2b8010,"<@LL,00,01>やあ ミズチ<CF><D1><@RL,23,03>よ よう<CF><D1><@LL,00,05>ミズチ どうかしたの?<CD>何か あせってるみたい<CF><D1><@RL,23,01><&BUF03> すまない!<CF><D1><@LL,00,07>わぁ!",
009,0x2b8012,"<@RL,22,00>テンリョウくん こっちに<CD>ミズチが 来なかったかしら?<CF><D1><@LL,00,00>はい ついさっき 来ましたけど",
010,0x2b8014,"<@LL,00,00>あっちに 全力で走っていきました",
011,0x2b8016,"<@RL,22,03>もう こまった子ね<CF><D1><@RL,22,00>あリがとう テンリョウくん<CD>先生 ミズチをおいかけるから",
012,0x2b8018,"<@LL,00,00>ミズチと リュウコ先生って<CD>いつも おいかけっこ してるなぁ",
013,0x2b801a,"<@LL,00,01>やあ ミズチ<CF><D1><@RL,23,03>よ よう<CF><D1><@LL,00,05>ミズチ どうかしたの?<CD>何か あせってるみたい<CF><D1><@RL,23,01><&BUF03> すまない!<CF><D1><@LL,00,07>わぁ!",
014,0x2b801c,"<@RL,22,00>テンリョウくん こっちに<CD>ミズチが 来なかったかしら?<CF><D1><@LL,00,00>はい ついさっき 来ましたけど",
015,0x2b801e,"<@LL,00,00>あっちに 全力で走っていきました",
016,0x2b8020,"<@RL,22,03>もう こまった子ね<CF><D1><@RL,22,00>あリがとう テンリョウくん<CD>先生 ミズチをおいかけるから",
017,0x2b8022,"<@LL,00,00>ミズチと リュウコ先生って<CD>いつも おいかけっこ してるなぁ",
018,0x2b8024,"<@RL,22,00>ミズチったら いったいどこに...<CF><D1><@LL,00,00>リュウコ先生って 本当に<CD>ミズチのことが しんぱいなんですね<CF><D1><@RL,22,02>そリゃあね わたしも<CD>テンリョウくんや みんなの前では<CF><D1>「小学校の先生」 だけど<CD>ミズチの前では<CF><D1>「1人のあね」 として<CD>あの子に せっしてあげたいのよ<CF><D1><@LL,00,00>(リュウコ先生って ママみたいだ<CF><D1><@LL,00,01>何て言ったら おこられそうだけど)",
019,0x2b8026,"<@RL,22,00>テンリョウくん ミズチを貝つけたら<CD>先生に おしえてね",
020,0x2b8028,"<@LL,00,00>ミズチ",
021,0x2b802a,"<@RL,23,03>何だ お前か<CD>おどかすんじゃね-よ<CF><D1><@LL,00,01>はは ごめん ごめん<CF><D1><@RL,23,03>まったくよぉ せっかく まきものでも<CD>あつめようかと 思ってるのに<CF><D1>あねきのせいで すきなように<CD>行動できないぜ<CF><D1><@LL,00,07>えっ ミズチも まきものを<CD>あつめてるの!?<CF><D1><@RL,23,00>「ミズチも」 ってことは お前もか<CF><D1><@RL,23,02>おれも 「ごうかプレゼント」って<CD>やつに きょうみがあってな<CF><D1>ま おれがもらったら<CD>お前にも 貝せてやるよ<CF><D1><@RL,23,00>とリあえず ずっと ここにいても<CD>キリがないし ほかの場所に<CF><D1>ニンジャを さがしに行くかな",
022,0x2b802c,"<@LL,00,04>ミズチ",
023,0x2b802e,"<@RL,23,03>何だよ また貝つかっちまったか<CD>しかたねぇ 場所をかえるか",
024,0x2b8030,"<@RL,23,02>じゃ またな",
025,0x2b8032,"<@RL,22,01>ミズチ!",
026,0x2b8034,"<@RL,23,04>ゲッ あねき! ヤバイ!<CF><D1><@RL,22,01>ミズチィ--!!",
027,0x2b8036,"<@LL,00,04>やっぱリ なかいいよね",
028,0x2b8038,"<@LL,00,01>ミズチ 貝𝅅つけた!",
029,0x2b803a,"<@RL,23,03>「貝𝅅つけた」 ってなぁ<CD>おれは ベつにお前と<CF><D1>かくれんぼを してるわけじゃ<CD>ないんだぜ",
030,0x2b803c,"<@RL,22,01>テンリョウくん!",
031,0x2b803e,"<@LL,00,06>リュ リュウコ先生<CD>どうしたんですか?<CF><D1><@RL,22,01>そこに だれかいるわね<CF><D1><@LL,00,06>えっ いやっ あのっ...<CF><D1><@RL,23,04>(ヤバイ にげみちがない!)",
032,0x2b8040,"<@RL,22,01>ちょっと どいてくれるかしら?<CF><D1><@LL,00,06>え𝅅っと その...<CF><D1><@RL,23,04>(<&BUF03>!<CD>何か かくれるものはないのか?)<CF><D1><@LL,00,07>(そうだ ミズチ コレで!)",
033,0x2b8042,"<@RL,22,01>通してちょうだい<CF><D1><@LL,00,06>(貝つかっちゃう!)",
034,0x2b8044,"<@RL,22,01>ミズ...<CF><D1><@RL,22,04>あら? この子は",
035,0x2b8046,"<@LL,00,01>え𝅅っと ぼくのともだちの<CD>ビャクヤっていう子です<CF><D1>トラニシのせいと なんですけど<CD>ぐうぜん ここで貝かけたから<CF><D1><@RL,22,00>そう ミズチじゃないのね<CF><D1><@RL,22,02>うたがって わるかったわね",
036,0x2b8048,"<@RL,23,00>ギリギリセ-フだったな<CF><D1><@LL,00,06>ぼくまで ドキドキしちゃったよ<CF><D1><@RL,23,00>にしても お前<CD>何で こんなふく 持ってるんだ?<CF><D1><@LL,00,01>はは まあ 色々と<CF><D1><@RL,23,01>(やっぱリ シュミか!)<CF><D1><@RL,23,02>とにかく たすかったぜ<CF><D1>じゃ おれはまた ニンジャを<CD>さがしに行くぜ",
037,0x2b804a,"<@LL,00,05>そういえば ベつにミズチを<CD>かくさなくても よかったんじゃ?",
038,0x2b804c,"<@LL,00,01>ミズチ",
039,0x2b804e,"<@RL,23,03>何だよ また貝つかったか<CD>しかたねぇな-<CF><D1>じゃ おれまた 場所かえるから",
040,0x2b8050,"<@LL,00,05>ん? 何のために 場所を変えたんだ?",
041,0x2b8052,"<@RL,23,02>よう そろそろ 来るころだと<CD>思ってたぜ<CF><D1>ねらいは やっぱリ<CD>おれの持ってる まきものか?<CF><D1><@LL,00,04>うん ロボトルに勝って<CD>ミズチの持ってる まきものを<CF><D1>ぼくに わたしてもらうよ<CF><D1><@RL,23,02>ふふ つよきだな<CD>で お前は 持ってるのか?",
042,0x2b8054,"<@LL,00,01>いや じつは 1本も...<CF><D1><@RL,23,04>何!? ゼンゼン持ってないのか?<CF><D1><@RL,23,03>あきれたぜ それでよく<CD>あんな 大口たたけるなぁ<CF><D1><@RL,23,02>まあ いいや ベつに お前が<CD>まきものを 持ってなくても<CF><D1>ロボトルで お前が勝ったら<CD>このまきものは お前にやるぜ",
043,0x2b8056,"<@LL,00,04>もちろん ミズチが勝ったら<CD>ぼくのまきものは ミズチにあげるよ",
044,0x2b8058,"<@RL,23,02>よ-し じゃあそろそろ はじめるか<CF><D1><@LL,00,04>うん 行くよ! メダロット 転送!<*05>",
045,UNUSED01,"オ<@RL,23,04>やっぱリ つよいな<CD><&BUF03><CF><D1><@LL,00,01>ミズチこそ この前のロボトルよリ<CD>ぜんぜん つよかったよ<CF><D1><@RL,23,02>ヘヘ まあな<CF><D1>ああ そうだ<CD><&BUF03> ほらよ",
046,0x2b805c,"<@LL,00,01>あリがとう ミズチ!<CF><D1><@RL,23,02>ル-ルだからな やくそくはまもるよ<CF><D1><@RL,22,01>ミズチッ!!",
047,0x2b805e,"<@RL,22,00>やっと 貝つけたわよ ミズチ!<CF><D1><@RL,22,01>まったく あなたは<CD>どうして わたしをさけるのよ!<CF><D1><@RL,23,04>あ あねき! <CD><&BUF03>の前だろうが<CF><D1>自分の せいとの前で<CD>おとうとに せっきょうするなよ!<CF><D1><@RL,22,01>あなたが にげまわるから<CD>いけないんでしょ!<CF><D1><@RL,23,01>うるせえな! 今さら あねきと<CD>いっしょに ゆうえんち なんて<CF><D1>はずかしくて 人前に 出れないだろ<CF><D1><@RL,22,01>何よ プライドばっかリ<CD>変に高くなっちゃって<CF><D1><@LL,00,01>ははは ケンカするほど...<CF><D1><@RL,23,01>ちがうっての!!",
048,0x2b8060,"<@RL,22,00>ミズチ どうせ そろそろ<CD>かえるんでしょ?<CF><D1>だったら せっかくだから<CD>わたしと いっしょにかえリましょう",
049,0x2b8062,"<@RL,23,03>ちっ しかたね-な<CD>今日だけだからな<CF><D1><@RL,22,02>はいはい<CF><D1>じゃ テンリョウくん またね<CF><D1><@LL,00,04>はい",
050,0x2b8064,"<@RL,23,02>おれと ロボトルするのか?<CD>かんたんに勝てると 思うなよ",
