Index[#version],Pointer[#version|],Original,Translated
000,0x264000,"<@RL,11,00><&BUF03><CD>今日も ロボトルしたか?<CF><D1><@LL,00,04>うん 今日は メダスピ-ドも したよ<CF><D1><@RL,11,00>そうか メダスピ-ドは さいきん<CD>だいリゅうこう らしいなぁ<CF><D1>そうそう 今日 聞いたんだが<CD>おみくじ町では まだ 少ないが<CF><D1>メダロットを 使って<CD>わるいこと ばっかリ してる<CF><D1>ロボロボ団 みたいな れんちゅうが<CD>さいきん ふえてるそうだ<CF><D1>セレクト隊も おおいそがしだよ<CD><&BUF03>も 気をつけろよ<CF><D1><@LL,00,05>パパも たいヘんだね<CF><D1><@RL,11,01>はっはっはっ<CD>これも しごとだからな",
001,0x264002,"<@LL,00,01>ごちそうさま𝅅",
002,0x264004,"<@LL,00,00>もう パパも ママも <CD>ねてるだろうなぁ...",
003,0x264006,"<@LL,00,00>ふわぁ... おやすみ𝅅",
004,0x264008,"<@LL,00,04>よしっ 今日も がんばるぞ!",
005,0x26400a,"<@LL,00,05>よリみちしてたら ちこくしちゃうよ",
006,0x26400c,"<@RL,01,02>おそいわよ <&BUF03>!<CD>ちこくなんか してみなさい<CF><D1>あの先生に 何言われるか<CD>わからないわよ",
007,0x26400e,"<@RL,2A,00>となリの子 いつも はやいのに<CD>今日は まだ 来てないみたい<CF><D1>カゼでも ひいたかな?",
008,0x264010,"<@RL,2A,00>となリの子 今日は 休みだったみたい<CD>どうしたのかな?",
009,0x264012,"<@RL,2A,00>きのう メダロポリスに<CD>行ったんだけどさ<CF><D1>メダスピ-ドばっかリで<CD>ロボトルは やってなかったよ",
010,0x264014,"<@RL,2A,00>先生 ムチャなこと 言ってくるから<CD>しぜん公園か メダロポリスで<CF><D1>ロボトルして パ-ツあつめて<CD>メダルきたえてから 行こうかな<CF><D1>そなえあれば うれいなしってね",
011,0x264016,"<@RL,35,00>おはよ𝅅 <&BUF03>くん<CD>しゅくだい ちゃんと やってきた?",
012,0x264018,"<@RL,35,00>ふぅ𝅅 今日は おどろ山か<CD>リュウコ先生 きびしいよ𝅅<CF><D1>でも くよくよしてたら<CD>エリザベスちゃんに わらわれちゃう<CF><D1>わたし ガンバ!",
013,0x26401a,"<@RL,22,00>おはよう みんな<CD>それじゃ しゅっけつを とリます",
014,0x26401c,"<@RL,22,00>今日のホ-ムル-ムは<CD>「おどろ山」で行うわ<CF><D1>おどろ山は 学校の上よ<CD>わかってるわね?<CF><D1>ちょっとした テストを 行うから<CD>きちんと じゅんびしておくことね<CF><D1><@RL,01,02>こっちは パ-ツを とリあげられて<CD>ぜんぜん 足リないってのに...<CF><D1><@RL,35,00>メダロポリスで ロボトルして<CD>パ-ツ あつめたら?",
015,0x26401e,"<@RL,01,05>それが いいかもね<CD>メダルきたえることも できるし<CF><D1><@RL,2A,00>しぜん公園も いいんじゃないか?<CF><D1>せめて よびパ-ツ 1セットぐらいは<CD>持っていた方が ベんリだぞ",
016,0x264020,"<@LL,00,05>ぼくも パ-ツ少ないんだよなぁ<CD>パ-ツあつめに 行こうかな?<CF><D1><@RL,35,00>そうした方が いいんじゃない?",
017,0x264022,"<@RL,01,02>よし! メダロポリスに行って<CD>パ-ツあつめるわよ!",
