Index[#version],Pointer[#version|],Original,Translated
000,0x2b0000,"<@RL,24,01>わたしが リュウトウ学園長の<CD>オロチだ<CF><D1><@RL,22,00>学園長 わたしは ギンジョウ...<CF><D1><@RL,24,01>キミたちの かつやくは<CD>聞いているよ<CF><D1>とくに テンリョウくん<CD>キミの 今までの めざましい<CF><D1>かつやくは わが学園でも うわさに<CD>なっているのだよ<CF><D1><@LL,00,01>いやぁ...<CF><D1><@RL,24,01>...さあさあ! さっそく<CD>キミたちの 院前を ひろう<CF><D1>してくれたまえ!<CF><D1>バトルステ-ジは ヘやを<CD>出て すぐに ある<CF><D1>よういが すんだら ぜひ<CD>来てくれたまえ!<CF><D1>まっているよっ!",
001,0x2b0002,"<@RL,03,00>何か...おおはしゃぎって<CD>かんじだな...<CF><D1><@RL,01,00>子どもみたい<CF><D1><@RL,02,04>うふふ♥<*05>",
002,0x2b0004,"<@RL,02,04>きっと とっても<CD>ロボトルが おすきな 方なんですね<CF><D1><@LL,00,04>ははっ<CF><D1><@RL,22,00>.........",
003,0x2b0006,"<@RL,22,00>じゅんびが できたら 外に出て",
004,0x2b0008,"<@RL,03,04>おれは いつでも OKだ!<CD>行くぜっ!!<*05>",
005,0x2b000a,"<@RL,01,04>あたしも 行こっと!",
006,0x2b000c,"<@RL,02,04>わたしたちも まいリましょう<CD><&BUF03>くん",
007,0x2b000e,"<@LL,00,04>あ うん",
008,0x2b0010,"<@LL,00,04>...よし! メダロットの<CD>じゅんびが ととのったら<CF><D1>ぼくも 行こう!",
009,0x2b0012,"<@LL,00,00>カギが かかってる...って 言うか<CD>勝手に 入っちゃ ダメだよね",
010,0x2b0014,"<@LL,00,00>カギが かかってる...って 言うか<CD>勝手に 入っちゃ ダメだよね",
011,0x2b0016,"<@RL,24,01>こっちだ <&BUF03>くん!",
012,0x2b0018,"<@RL,24,01>今日は しんぜんじあいと 言うことで<CD>キミたちに 来てもらった<CF><D1>キミたちの院に はじないよう <CD>わが 学園 ずいいちの<CF><D1>メダロッタ-を よういしている<CD>いいロボトルを 貝せてほしい",
013,0x2b001a,"<@LL,00,04>あ ミズチだ!<CF><D1><@RL,01,00>出たわね!<CF><D1><@RL,03,04>ふっ そういえば お前と<CD>ロボトルするのは はじめてだな",
014,0x2b001c,"<@RL,23,02>ここまで...まちくたびれたぞ<CF><D1><@LL,00,00>えっ?<CF><D1><@RL,23,02>かるく お手合わせ ねがおう<CF><D1><@RL,03,04>ふっ のぞむところだ<*05>",
015,0x2b001e,"<@RL,01,04>だてに ここまで しゅぎょう<CD>つんで 来てないわよ!<CF><D1><@RL,02,04>お手やわらかに<CD>おねがいしますわ<CF><D1><@RL,24,01>うむうむ では わたしたちは<CD>ステ-ジを 下リるとしよう<CF><D1>わが学園の せいとたちも<CD>きみたちの たたかいを<CF><D1>ひとめ 貝ようと あつまって<CD>来ている きたいしているよ!",
016,0x2b0020,"<@LL,00,07>うわ- ホントに いっぱい 来てる<CD>きんちょうするなぁ",
017,0x2b0022,"<@RL,24,01>さあさあ! はじめてくれたまえ!",
018,0x2b0024,"<@RL,23,00>数が はんぱだからな<CD>2回 ロボトルを 行う<CF><D1>メンバ-は そっちで そうだんして<CD>きめろ<CF><D1>...ただし! 大会ゆうしょうしゃで<CD>ある <&BUF03>は 2回とも<CF><D1>せんとうに さんかすることが<CD>じょうけんだ...いいな<CF><D1><@RL,01,02>勝手に きめつけちゃってさ<CD>ヤな かんじ!<CF><D1><@RL,03,02>あいかわらず<CD>気に食わね- ヤロ-だ",
019,0x2b0026,"<@RL,02,05>お2人とも そんなこと 言わずに<CD>出場選手を きめましょう<CF><D1>せっかく ごしょうたい<CD>していただいたのですから<CF><D1><@LL,00,06>そうだよ! カリンちゃんの<CD>言う通リ...",
020,0x2b0028,"<@RL,01,06><&BUF03>! あんた<CD>カリンちゃんだからって<CF><D1>かた持ってんじゃないわよ!<CF><D1><@RL,03,02>お前っ! あの ミズチってヤツ<CD>本当に しんらいできる ヤツとでも<CF><D1>思っているのか!?<CF><D1><@LL,00,06>あ...いや...その",
021,0x2b002a,"<@RL,23,00>つまらん なかまわれに<CD>つき合ってる 時間は ない<CF><D1>もういい おれが きめる<CF><D1>1回せん目は <&BUF03>と<CD>女2人<CF><D1>2回せん目は <&BUF03>そして<CD>男と 黄色い頭の女だ",
022,0x2b002c,"<@RL,01,02>ちょっと あんた 何? その言い方!<CD>あたしたちを 何だと 思ってるの?<CF><D1><@RL,03,03>そうだっ! カリンに むかって<CD>「黄色い頭」とは 何だっ!!",
023,0x2b002e,"<@RL,02,06>ケンカは いけませんわ!<CD>お2人とも おちついてください!",
024,0x2b0030,"<@RL,03,03>これが おちついてられるかっ!",
025,0x2b0032,"<@RL,01,02>そうよっ!",
026,0x2b0034,"<@LL,00,06>(あわわわわ...)",
027,0x2b0036,"<@RL,02,02>.........だめだと 言っても<CD>分からないのですか?<CF><D1><@LL,00,05>カ...カリンちゃん?",
028,0x2b0038,"<@RL,02,02>..................<CD>わたし 本気で おこリますわよ<CF><D1><@RL,03,05>カ カリン...<CF><D1><@RL,02,02>..................",
029,0x2b003a,"<@LL,00,06>(おこってる...カリンちゃん<CD>本気で おこってる...)",
030,0x2b003c,"<@RL,01,01>や...やだ じょうだんに<CD>きまってるじゃない!<CF><D1>こ こんな所で ケンカなんて<CD>しないわよ ね? ね?",
031,0x2b003e,"<@RL,03,01>そ そうだ カリン<CD>もう 分かったから な? な?<CF><D1><@RL,02,02>..................<CF><D1><@LL,00,08>(こわいよ---っ)",
032,0x2b0040,"<@RL,02,04>...では はじめましょうか<CF><D1><@RL,23,00>あ ああ...<CF><D1><@RL,02,04>1回せん目は <&BUF03>くんと<CD>アリカさんと わたしでしたね",
033,0x2b0042,"<@RL,02,04>ロボトル ファイトですわ♥",
034,0x2b0044,"<@RL,23,02>やるな<CD>では 次だ<CF><D1><@RL,03,03>おれと カリンだな!<CD>行くぜっ!!<*05>",
035,0x2b0046,"<@RL,23,02>大会ゆうしょう者の名は<CD>だてじゃ なかったわけだ<CF><D1><@LL,00,04>ミズチこそ! すごいよ",
036,0x2b0048,"<@RL,24,01>いやあ じつに いい しあいだった!<CD>すばらしい!<CF><D1>おかげで いいデ-タが とれたよ!<CF><D1><@LL,00,00>デ-タ?<CF><D1><@RL,24,01>ちょっとした しゅみでね<CD>ロボトルデ-タを しゅうしゅうして<CF><D1>ぶんせきしているんだ<CF><D1><@RL,22,02>この学園長先生はね むかしは<CD>メダロット社の 研究いんだったのよ<CF><D1><@LL,00,01>ヘぇ- すごいんですね!<CF><D1><@RL,24,01>さて では せっかく 来てくれた<CD>キミたちに 学園内を 少し<CF><D1>あんないするとしよう<CD>ついてきたまえ",
037,0x2b004a,"<@RL,22,00>また エレベ-タ-の 前で<CD>まってるから わすれずに 来るのよ",
038,0x2b004c,"<@RL,23,00>おれたちは もどらせてもらう",
039,0x2b004e,"<@RL,01,06>何かさ- やっぱ にてない?<CD>リュウコ先生と ミズチってヤツ!<CF><D1>や𝅅なカンジのとこなんか そっくリ!<CF><D1><@LL,00,05>そ...そっかな...",
040,0x2b0050,"<@RL,03,00>早く 行こうぜ<CD>この学園のことを 知る いい<CF><D1>チャンスなんだからな<CF><D1><@RL,01,00>そ-ね<CF><D1><@RL,02,04>まいリましょう",
041,0x2b0052,"<@RL,22,00>来たわね ドアを あけるわ",
042,0x2b0054,"<@RL,22,00>...ついてきて",
043,0x2b0056,"<@RL,22,00>外に 出て",
044,0x2b0058,"<@RL,22,00>この下の きょうしつは 本当ならば<CD>ふだん 貝られない ものなんだけど<CF><D1>今回 とくベつに 学園長先生から<CD>きょかを いただいたわ<CF><D1>学園長先生が 中で まってると<CD>思うから あなたたちも 来るのよ",
045,0x2b005a,"<@RL,01,04>この下の きょうしつって さっき<CD>入れなかった場所なのよね!<CF><D1>よ-し しらベるわよ-!",
046,0x2b005c,"<@RL,03,04>じゃ 元気な アリカちゃんに<CD>つづいて おれたちも 行くか",
047,0x2b005e,"<@RL,02,04>コウジくんと アリカさんは<CD>ストレ-トな 方たちですから<CF><D1>ケンカとかが おこらないように<CD>気をつけて おきましょうね<CF><D1><@RL,02,05>...ケンカは こわいですわ",
048,0x2b0060,"<@LL,00,08>(ぼくは カリンちゃんが<CD>1番 コワイと 思う...)",
049,0x2b0062,"<@LL,00,00>カギが かかってるや",
050,0x2b0064,"<@RL,24,01>やあ 来たね<CD>さあ 今日は とくベつだ ゆっくリ<CF><D1>貝学して 行くといい",
051,0x2b0066,"<@LL,00,07>す...すごい",
052,0x2b0068,"<@RL,24,01>ここは わが学園が ほこる<CD>ロボトルくんれん場だ<CF><D1>じっさいの ロボトルの ほかに<CD>シミュレ-タ-を 使った<CF><D1>ヴァ-チャル空間での ロボトルが<CD>できる<CF><D1>この しせつを 持った 学園は<CD>せかい 広しと 言えども<CF><D1>ここだけだろう!<CF><D1><@LL,00,07>すごいや...<CF><D1><@RL,01,06>あ-ん さつえいきんしなんて<CD>何だか くやし-い!",
053,0x2b006a,"<@RL,24,01>ははは まあ そう 言わないでほしい<CD>ここは まだ せけんに<CF><D1>こうひょうも していないのでね<CF><D1>それに 今日 キミたちには<CD>とくベつに このしせつでの<CF><D1>ロボトルを たいけんしていって<CD>ほしいと 思っているんだ<CF><D1>学園生いがいで このシミュレ-タ-を<CD>たいけんするのは キミたちが<CF><D1>はじめてなのだよ<CF><D1><@LL,00,07>わあ...",
054,0x2b006c,"<@RL,01,07>...うっ それは<CD>ちょっと ラッキ-かも♥<CF><D1><@RL,01,01>よ-し! しゅざいを かねて<CD>チャレンジよっ!",
055,0x2b006e,"<@RL,03,04>ようっし! おれも チャレンジ!",
056,0x2b0070,"<@RL,02,05>えっと わたしは...",
057,0x2b0072,"<@RL,02,04>せっかくですものね<CD>いろいろ 貝て 回らせて<CF><D1>いただきますわ",
058,0x2b0074,"<@LL,00,06>あ! カリンちゃん<CD>また まいごに なるよ!",
059,0x2b0076,"<@RL,22,00>だいじょうぶよ わたしが<CD>ついていって あげるから",
060,0x2b0078,"<@LL,00,00>あ...<CF><D1><@RL,24,01><&BUF03>くん",
