Index[#version],Pointer[#version|],Original,Translated
000,0x29c000,"<@LL,00,00>止めておいてなんだけど...<CD>本当に いいんだな? コウジ<CF><D1><@RL,03,00>今 ナ-スを おえば カリンの所に<CD>行けるかもしれない<CF><D1>だけど これは きっと シュリって<CD>ヤツの ちょうせんじょうだ<CF><D1>おれは おれの力で<CD>カリンを 貝つけだす!<CF><D1><@LL,00,04>ぼくが いることも わすれるなよ",
001,0x29c002,"<@LL,00,00>それにしても 変だな<CD>きゅうけい時間が おわって<CF><D1>だいぶ たつのに<CD>アリカの すがたが 貝えないや<CF><D1><@RL,03,00>また どこか そこらヘんを<CD>うろついてんじゃね-のか?<CF><D1><@LL,00,05>そ-かな-?<CF><D1><@RL,03,00>しんぱいね-って!<CF><D1><@LL,00,03>う--ん...<CF><D1><@RL,03,05>ふぅ まったく しんぱいしょうだな<CF><D1><@RL,03,00><&BUF03><CD>次 お前の番か?",
002,0x29c004,"<@LL,00,00>ううん まだみたい<CF><D1><@RL,03,00>だったらさ いちおう そのあたリを<CD>さがしに 行ってみるか?<CF><D1><@LL,00,00>そうだね",
003,0x29c006,"<@RL,FF,53>きゃ!",
004,0x29c008,"<@RL,03,03>おい <&BUF03> 今のは?<CF><D1><@LL,00,02>ロボロボ団だ! しかも<CD>カリンちゃんの ナ-スちゃんが<CF><D1>ゆうかいされた みたいだ<CF><D1><@RL,03,03>くっそ-! おれは右を さがす<CD>お前は 左を さがしてくれ!<CF><D1><@LL,00,02>分かった",
005,0x29c00a,"<@LL,00,02>あまリ 時間が ないから<CD>早く さがさなくっちゃな",
006,0x29c00c,"<@RL,1C,00>キレイなの 気に入らないロボ-!<CD>メチャメチャに してやるロボ-!<CF><D1><@LL,00,07>あっ この声は!<CF><D1><@LL,00,05>...考えるまでも ないか",
007,0x29c00e,"<@LL,00,02>ナ-スちゃんを ゆうかいした<CD>ロボロボ団は まだ 学校の中に<CF><D1>いるはずだ!",
008,0x29c010,"<@LL,00,02>ナ-スちゃんを ゆうかいした<CD>ロボロボ団を おいかけないと!<CF><D1>コウジが 右に行ってるから<CD>ぼくは 左のきょうしつを しらベよう",
009,0x29c012,"<@LL,00,00>コウジが 何か<CD>貝つけてるかもしれない<CF><D1>右のきょうしつに 行ってみよう",
010,0x29c014,"<@RL,13,02>本が キレイにならんでるなんて<CD>気に入らないロボ!<CF><D1><@RL,13,01>メチャメチャに してやるロボ-!<CF><D1><@LL,00,00>何してるんだよ こんなところで",
011,0x29c016,"<@RL,13,04>い いつの間に あらわれたロボ?<CF><D1><@LL,00,02>そんなことよリ ナ-スちゃんは<CD>どこにいるんだ!<CF><D1><@RL,13,02>ふんっ 知ってても<CD>おしえないロボ!!",
012,0x29c018,"<@LL,00,02>さあ ナ-スちゃんは どこだ!<CF><D1><@RL,13,02>ふん! お前なんかに おしえて<CD>あげないロボよ<CF><D1>これでも くらうロボ!",
013,0x29c01a,"<@LL,00,06>ゴホッ ゴホッ...<CD>うぅ ケムリが 目にしみる",
014,0x29c01c,"<@LL,00,02>くっそ- にげあしだけは<CD>何て すばやい やつらなんだ!",
015,0x29c01e,"<@LL,00,00>そういえば コウジのほうは<CD>どうなったんだろう?<CF><D1>右の きょうしつに 行ってみよう",
016,0x29c020,"<@LL,00,00>なんだろう? ここのドア<CD>ひっかかってて うまく ひらかない",
017,0x29c022,"<@RL,13,01>このドアに こくばんけしを<CD>はさんでおけば 次に だれかが<CF><D1>入ってきたときに<CD>頭が チョ-クのこなで<CF><D1>まっ白に なっちゃうロボ-♥<CF><D1><@LL,00,02>イタズラは やめるんだ!",
018,0x29c024,"<@RL,13,02>きゅうに 声かけられたら<CD>ビックリするじゃ ないロボか!<CF><D1><@RL,13,04>って お前は あのときの...<CF><D1><@LL,00,02>そんなことは どうでもいい<CD>ナ-スちゃんは どこだ!<CF><D1><@RL,13,02>そんなこと 言うはずないロボ",
019,0x29c026,"<@RL,13,04>ま まずいロボ! にげるロボ!<CF><D1><@LL,00,07>あっ まて!",
020,0x29c028,"<@RL,13,03>ロボ-! チョ-クまみれロボ-!<CF><D1><@LL,00,06>くっそ- チョ-クのこなが<CD>ジャマで おいかけられない",
021,0x29c02a,"<@LL,00,00>そういえば コウジのほうは<CD>どうなったんだろう?<CF><D1>右の きょうしつに 行ってみよう",
