(1, [], [None], [(35, 0)], [True], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Entry00
0#kabuto,\x03\x01\x33\x33\x33\x33\x55\x55\x55\x55\x53\x53\x53\x53\x01\x07\x15\x64\x64\x64\x11\x23\x23\x10\x03\x11\x23\x23\x23\x03\x11\x23\x23\x10\x03
0#kuwagata,\x03\x01\x32\x32\x32\x32\x55\x55\x55\x55\x53\x53\x53\x53\x00\x07\x15\x64\x64\x64\x11\x23\x23\x23\x02\x20\x20\x20\x20\x06\x23\x12\x31\x01\x06
1,\x01\x01\x52\x52\x52\x52\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x00\x14\x0f\x12\x30\x23\x23\x04\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
2,\x01\x01\x52\x52\x52\x52\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x14\x14\x0f\x12\x30\x23\x23\x04\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
3,\x03\x01\x55\x55\x55\x55\x52\x52\x52\x52\x52\x52\x52\x52\x07\x15\x15\x19\x14\x0f\x12\x30\x12\x30\x05\x13\x23\x23\x23\x00\x11\x23\x23\x23\x02
4,\x03\x01\x52\x52\x52\x52\x55\x55\x55\x55\x52\x52\x52\x52\x15\x07\x15\x23\x1e\x19\x11\x23\x23\x23\x02\x20\x20\x20\x20\x06\x11\x23\x23\x23\x02
5,\x03\x01\x52\x52\x52\x52\x52\x52\x52\x52\x52\x52\x52\x52\x15\x15\x15\x2d\x28\x23\x11\x23\x23\x23\x02\x13\x23\x23\x23\x00\x13\x23\x23\x23\x00
6,\x02\x01\x55\x55\x55\x55\x55\x55\x55\x55\x00\x00\x00\x00\x07\x07\x08\x2d\x28\x23\x10\x30\x10\x30\x04\x10\x30\x10\x30\x04\x11\x11\x11\x15\x00
7,\x03\x01\x52\x52\x52\x52\x55\x55\x55\x55\x55\x55\x55\x55\x15\x07\x07\x37\x32\x2d\x12\x30\x23\x23\x04\x20\x20\x20\x20\x06\x20\x20\x20\x20\x06
8,\x03\x01\x55\x55\x55\x55\x52\x52\x52\x52\x52\x52\x52\x52\x07\x15\x15\x37\x32\x2d\x12\x30\x12\x30\x05\x13\x23\x23\x23\x00\x11\x23\x23\x23\x02
9,\x03\x01\x55\x55\x55\x55\x52\x52\x52\x52\x52\x52\x52\x52\x07\x15\x15\x41\x3c\x37\x12\x30\x12\x30\x05\x13\x23\x23\x23\x00\x11\x23\x23\x23\x02
10,\x03\x01\x55\x55\x55\x55\x52\x52\x52\x52\x52\x52\x52\x52\x07\x15\x15\x41\x3c\x37\x12\x30\x12\x30\x05\x13\x23\x23\x23\x00\x11\x23\x23\x23\x02
11,\x01\x01\x53\x65\x65\x53\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x19\x14\x0f\x11\x23\x32\x00\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
12,\x03\x01\x53\x53\x53\x53\x65\x65\x65\x65\x65\x65\x65\x65\x15\x07\x07\x37\x32\x2d\x11\x23\x32\x00\x02\x83\x32\x30\x23\x03\x22\x82\x30\x20\x03
13,\x03\x01\x53\x53\x53\x53\x65\x65\x65\x65\xe3\xe3\xe3\xe3\x15\x07\x09\x41\x3c\x37\x11\x23\x32\x00\x02\x83\x32\x30\x23\x03\x00\x10\x10\x10\x07
14,\x03\x01\x53\x53\x53\x53\x65\x65\x65\x65\x65\x65\x65\x65\x15\x07\x07\x41\x3c\x37\x11\x23\x32\x00\x02\x83\x32\x30\x23\x03\x22\x82\x30\x20\x03
15#kabuto,\x01\x01\x46\x46\x46\x46\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x19\x14\x0f\x13\x23\x02\x02\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
15#kuwagata,\x01\x01\x4b\x4b\x4b\x4b\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x19\x14\x0f\x81\x23\x00\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
16#kabuto,\x01\x01\x46\x46\x46\x46\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x23\x14\x0f\x13\x23\x02\x02\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
16#kuwagata,\x01\x01\x4b\x4b\x4b\x4b\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x23\x14\x0f\x81\x23\x00\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
17#kabuto,\x03\x01\x13\x13\x13\x13\x46\x46\x46\x46\xf9\xf9\xf9\xf9\x08\x1d\x07\x19\x14\x0f\x21\x03\x10\x23\x05\x22\x02\x02\x05\x00\x10\x31\x02\x13\x00
