(1, [], [None], [(35, 0)], [True], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Entry00
0,\x01\x00\x72\x72\x72\x72\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x0f\x0a\x05\x23\x80\x12\x30\x03\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
1,\x02\x01\x72\x72\x72\x72\x73\x73\x73\x73\x00\x00\x00\x00\x08\x07\x08\x19\x14\x0f\x23\x80\x12\x30\x03\x83\x21\x30\x37\x01\x11\x11\x11\x15\x00
2,\x03\x01\x72\x72\x72\x72\x73\x73\x73\x73\x74\x74\x74\x74\x08\x07\x07\x23\x1e\x19\x23\x80\x12\x30\x03\x83\x21\x30\x37\x01\x02\x31\x00\x80\x07
3,\x03\x01\x72\x72\x72\x72\x73\x73\x73\x73\x74\x74\x74\x74\x08\x07\x07\x2d\x28\x23\x23\x80\x12\x30\x03\x83\x21\x30\x37\x01\x02\x31\x00\x80\x07
4,\x03\x01\x72\x72\x72\x72\x73\x73\x73\x73\x74\x74\x74\x74\x08\x07\x07\x37\x32\x2d\x23\x80\x12\x30\x03\x83\x21\x30\x37\x01\x02\x31\x00\x80\x07
5,\x03\x00\x01\x01\x01\x01\x3a\x3a\x3a\x3a\x78\x78\x78\x78\x14\x17\x15\x0f\x0a\x05\x12\x22\x30\x30\x01\x13\x23\x01\x23\x04\x10\x12\x31\x00\x07
6,\x03\x00\x01\x01\x01\x01\x3a\x3a\x3a\x88\x78\x78\x78\x88\x14\x1a\x15\x19\x14\x0f\x12\x22\x30\x30\x01\x13\x23\x01\x23\x04\x10\x12\x31\x00\x07
7,\x03\x00\x01\x01\x01\x88\x3a\x3a\x3a\x3a\x78\x78\x78\x88\x1d\x17\x15\x23\x1e\x19\x12\x22\x30\x30\x01\x13\x23\x01\x23\x04\x10\x12\x31\x00\x07
8,\x03\x00\x01\x01\x01\x88\x3a\x3a\x3a\x88\x78\x78\x78\x78\x1d\x1a\x15\x2d\x28\x23\x12\x22\x30\x30\x01\x13\x23\x01\x23\x04\x10\x12\x31\x00\x07
9,\x03\x00\x01\x01\x01\x01\x3a\x3a\x3a\x3a\x78\x78\x78\x78\x14\x17\x15\x37\x32\x2d\x12\x22\x30\x30\x01\x13\x23\x01\x23\x04\x10\x12\x31\x00\x07
