(1, [], [None], [(11, 0)], [True], None, None, True, None)
128
kabuto#-1
kuwagata#-1
Index[#version],Entry00
0,\x3d\x3d\x3d\x3d\x08\x64\x21\x03\x10\x23\x05
1,\x52\x52\x52\x52\x15\x1e\x12\x30\x23\x23\x04
2,\x52\x52\x52\x52\x15\x1e\x12\x30\x23\x23\x04
3,\x52\x52\x52\x52\x15\x1e\x12\x30\x23\x23\x04
4,\x52\x52\x52\x52\x15\x1e\x12\x30\x23\x23\x04
5,\x55\x55\x55\x55\x07\x28\x12\x30\x12\x30\x05
6,\x52\x52\x52\x52\x15\x32\x12\x30\x23\x23\x04
7,\x55\x55\x55\x55\x07\x32\x12\x30\x12\x30\x05
8,\x52\x52\x52\x52\x15\x32\x12\x30\x23\x23\x04
9,\x55\x55\x55\x55\x07\x3c\x12\x30\x12\x30\x05
10,\x52\x52\x52\x52\x15\x3c\x12\x30\x23\x23\x04
11,\x55\x55\x55\x55\x07\x3c\x12\x30\x12\x30\x05
12,\x52\x52\x52\x52\x15\x3c\x12\x30\x23\x23\x04
13,\x52\x52\x52\x52\x15\x46\x12\x30\x23\x23\x04
14,\x52\x52\x52\x52\x15\x46\x12\x30\x23\x23\x04
15,\x52\x52\x52\x52\x15\x46\x12\x30\x23\x23\x04
16,\x52\x52\x52\x52\x15\x46\x12\x30\x23\x23\x04
17,\x53\x53\x53\x53\x15\x1e\x11\x23\x32\x00\x02
18,\x65\x65\x65\x65\x07\x3c\x23\x82\x30\x23\x03
19,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
20,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
21,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
22,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
23,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
24,\x65\x65\x65\x65\x07\x3c\x23\x82\x30\x23\x03
25,\x53\x53\x53\x53\x15\x3c\x11\x23\x32\x00\x02
26,\x65\x65\x65\x65\x07\x3c\x23\x82\x30\x23\x03
27,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
28,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
29,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
30,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
31,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
32,\x53\x53\x53\x53\x15\x46\x11\x23\x32\x00\x02
33,\x13\x13\x13\x13\x08\x1e\x21\x03\x10\x23\x05
34#kabuto,\x46\x46\x46\x46\x1d\x1e\x13\x23\x02\x02\x02
34#kuwagata,\x4b\x4b\x4b\x4b\x1d\x1e\x13\x23\x02\x02\x02
35#kabuto,\x46\x46\x46\x46\x1d\x1e\x13\x23\x02\x02\x02
